"any_single","deskmate","sim_s1_s2","girl_s1","girl_s2","roma_s1","roma_s2","gpa_s1","gpa_s2","friend","friend_s1","friend_s2","girl_match","roma_match","mean_gpa","diff_gpa","sim_s1_s2_std","size","size","gendermatch","class_id","school_id","s1","s2"
0,0,0.566666666666667,1,0,0,0,5,3.6,0,0,0,"1","0",4.3,1.4,-0.6236763017375,"18",18,0,59379,32,492505,773439
0,0,0.983333333333334,1,1,0,0,5,4.8,0,1,0,"2","0",4.9,0.2,1.20929472195964,"18",18,1,59379,32,492505,515780
1,0,0.593333333333333,1,0,0,0,5,4,0,0,0,"1","0",4.5,1,-0.506366156220883,"18",18,0,59379,32,492505,630545
0,0,1,1,1,0,0,5,5,1,1,1,"2","0",5,0,1.28261356290753,"18",18,1,59379,32,492505,873428
0,0,0.943333333333333,1,1,0,0,5,4.2,1,1,1,"2","0",4.6,0.8,1.03332950368472,"18",18,1,59379,32,492505,112069
0,0,0.986666666666667,0,0,0,0,4,4.2,0,1,0,"0","0",4.1,0.2,1.22395849014922,"18",18,1,59379,32,300996,888954
0,0,0.62,0,1,0,0,4,4.6,0,0,0,"1","0",4.3,0.6,-0.389056010704266,"18",18,0,59379,32,300996,706146
0,0,0.926666666666667,0,0,0,0,4,5,0,0,0,"0","0",4.5,1,0.960010662736832,"18",18,1,59379,32,300996,288809
0,0,0.653333333333333,0,1,0,0,4,4.2,0,1,0,"1","0",4.1,0.2,-0.242418328808495,"18",18,0,59379,32,300996,925705
0,0,0.986666666666667,0,0,0,0,4,4.2,0,0,0,"0","0",4.1,0.2,1.22395849014922,"18",18,1,59379,32,300996,191079
0,0,0.926666666666667,0,0,0,0,4,5,0,0,0,"0","0",4.5,1,0.960010662736832,"18",18,1,59379,32,300996,94905
1,0,0.593333333333333,0,1,0,0,4,5,0,0,0,"1","0",4.5,1,-0.506366156220883,"18",18,0,59379,32,300996,253832
0,0,0.986666666666667,0,0,0,0,4,4.2,0,0,0,"0","0",4.1,0.2,1.22395849014922,"18",18,1,59379,32,300996,879977
0,0,0.953333333333333,0,0,0,0,4,4.6,0,0,0,"0","0",4.3,0.6,1.07732080825345,"18",18,1,59379,32,300996,276484
0,0,0.973333333333334,0,0,0,0,4,3.6,0,1,0,"0","0",3.8,0.4,1.16530341739091,"18",18,1,59379,32,300996,773439
0,0,0.61,0,1,0,0,4,4.8,0,0,0,"1","0",4.4,0.8,-0.433047315272997,"18",18,0,59379,32,300996,515780
1,0,1,0,0,0,0,4,4,0,1,0,"0","0",4,0,1.28261356290753,"18",18,1,59379,32,300996,630545
0,0,0.593333333333333,0,1,0,0,4,5,0,0,0,"1","0",4.5,1,-0.506366156220883,"18",18,0,59379,32,300996,873428
0,0,0.65,0,1,0,0,4,4.2,0,0,0,"1","0",4.1,0.2,-0.257082096998072,"18",18,0,59379,32,300996,112069
